gh_id,obs,pred_gridpp,err_gridpp,pred_uk,err_uk,cont_pr,elev,px,py
RIAI99PA,42.900001525878906,42.256492614746094,-0.6435089111328125,48.07328946389779,5.1732879380188805,5.05806007300982,6.32,521711.53125,414062.25
RIAL99MS,40.099998474121094,37.757991790771484,-2.3420066833496094,42.115678658179135,2.0156801840580414,42.3299115165594,197.76,682177.375,370388.0625
RIBA99PA,69.0,44.235389709472656,-24.764610290527344,47.75127729401533,-21.24872270598467,20.808270621307,30.94,513696.03125,248306.28125
RIDAGDA,19.299999237060547,29.02789306640625,9.727893829345703,11.708439439012158,-7.591559798048388,44.6089780502326,187.13,721360.4375,223724.65625
RIDM99MS,20.0,23.860925674438477,3.8609256744384766,35.809006951971426,15.809006951971426,40.2345554092767,97.52,663771.0625,194691.140625
RIDO99MS,41.5,26.53453826904297,-14.965461730957031,52.35104936198895,10.851049361988949,26.4014831951799,41.32,458249.125,275283.5625
RIGASLU,48.099998474121094,37.305625915527344,-10.79437255859375,51.016314757408566,2.916316283287472,4.43296769524904,2.75,506367.15625,312359.0625
RIGU99MS,32.099998474121094,44.96122741699219,12.861228942871094,46.89000064295926,14.790002168838164,42.1786455620948,141.32,664551.8125,335384.03125
RIJE99PA,44.20000076293945,62.0052604675293,17.805259704589844,54.62092030075107,10.420919537811614,3.7727864706312,7.34,497791.9375,268067.84375
RIKO99PA,32.400001525878906,32.19474411010742,-0.20525741577148438,31.717244749499766,-0.68275677637914,3.6807807416504,3.58,415946.5,401419.8125
RILP99PA,8.600000381469727,10.754130363464355,2.154129981994629,8.699999809265137,0.09999942779541016,2.87363895712746,3.26,316503.75,262976.28125
RIMADONA,43.20000076293945,40.00141525268555,-3.1985855102539062,48.52622548982321,5.326224726883758,37.2961234399292,131.39,636462.0,302730.875
RIME99MS,42.900001525878906,77.24090576171875,34.340904235839844,43.96164599840919,1.0616444725302827,4.32397115910191,4.97,446610.9375,354828.71875
RIPA99PA,8.699999809265137,8.942081451416016,0.2420816421508789,9.448685549757148,0.7486857404920109,5.68601965193325,8.2,328790.4375,308474.75
RIPR99PA,59.400001525878906,69.28746032714844,9.887458801269531,59.392847124197885,-0.007154401681020772,39.0253918181656,122.07,580587.3125,353311.1875
RIREZEKN,33.29999923706055,25.31144905090332,-7.988550186157227,21.61248080130441,-11.687518435756136,45.1158600928499,169.06,706729.375,264540.5625
RIRU99PA,53.29999923706055,57.76104736328125,4.461048126220703,46.831770733516336,-6.468228503544211,30.012233602891,67.71,581338.8125,416897.25
RISA99PA,26.899999618530273,49.16828155517578,22.268281936645508,63.80136222664892,36.901362608118646,38.1622079313054,121.61,403690.96875,286226.15625
RISE99MS,50.099998474121094,49.27845001220703,-0.8215484619140625,50.5983103077652,0.49831183364410947,6.35558440240894,7.68,524837.0625,350926.6875
RISI99PA,74.4000015258789,61.59352493286133,-12.806476593017578,51.94470378896738,-22.455297736911525,32.2237594837084,79.64,569199.0,278158.15625
RIST99PA,63.599998474121094,23.64019775390625,-39.959800720214844,35.35257971709767,-28.247418757023425,31.9413254097329,79.97,412399.34375,338731.6875
RIVE99PA,9.199999809265137,24.29368019104004,15.093680381774902,17.088266771534805,7.888266962269668,1.46816869349303,2.33,352006.3125,364099.3125
RIZI99PA,32.29999923706055,39.246543884277344,6.946544647216797,51.290218116942505,18.990218879881958,37.6519666305438,106.71,618013.25,265599.84375
RIZO99MS,68.9000015258789,58.11939239501953,-10.780609130859375,51.274595254944465,-17.62540627093444,41.5944482681889,187.72,615333.875,334033.53125
RUCAVA,12.300000190734863,12.219610214233398,-0.08038997650146484,8.600000381469727,-3.6999998092651367,11.3991771274633,18.86,324465.15625,227710.28125
