gh_id,obs,pred_gridpp,err_gridpp,pred_uk,err_uk,cont_pr,elev,px,py
RIAI99PA,68.9000015258789,60.84098815917969,-8.059013366699219,41.0722877167549,-27.827713809124006,5.05806007300982,6.32,521711.53125,414062.25
RIAL99MS,31.299999237060547,26.648799896240234,-4.6511993408203125,40.288553091603696,8.988553854543149,42.3299115165594,197.76,682177.375,370388.0625
RIBA99PA,16.799999237060547,25.66900062561035,8.869001388549805,15.456049443933756,-1.3439497931267912,20.808270621307,30.94,513696.03125,248306.28125
RIDAGDA,30.700000762939453,37.11451721191406,6.414516448974609,49.07164734249418,18.371646579554728,44.6089780502326,187.13,721360.4375,223724.65625
RIDM99MS,36.599998474121094,40.1759033203125,3.5759048461914062,30.32908823238404,-6.270910241737052,40.2345554092767,97.52,663771.0625,194691.140625
RIDO99MS,10.699999809265137,18.62791633605957,7.927916526794434,16.6979674190223,5.997967609757165,26.4014831951799,41.32,458249.125,275283.5625
RIGASLU,14.600000381469727,28.89073371887207,14.290733337402344,24.812508056781276,10.21250767531155,4.43296769524904,2.75,506367.15625,312359.0625
RIGU99MS,20.799999237060547,28.747905731201172,7.947906494140625,22.649914285051512,1.8499150479909652,42.1786455620948,141.32,664551.8125,335384.03125
RIJE99PA,16.200000762939453,11.524138450622559,-4.6758623123168945,25.688846269337635,9.488845506398182,3.7727864706312,7.34,497791.9375,268067.84375
RIKO99PA,40.099998474121094,46.272361755371094,6.17236328125,67.15668840838285,27.056689934261755,3.6807807416504,3.58,415946.5,401419.8125
RILP99PA,43.70000076293945,68.48448944091797,24.784488677978516,64.5231880837091,20.823187320769648,2.87363895712746,3.26,316503.75,262976.28125
RIMADONA,22.200000762939453,18.095335006713867,-4.104665756225586,16.297094813140077,-5.902905949799376,37.2961234399292,131.39,636462.0,302730.875
RIME99MS,24.100000381469727,25.60227394104004,1.5022735595703125,37.436020604950954,13.336020223481228,4.32397115910191,4.97,446610.9375,354828.71875
RIPA99PA,47.099998474121094,45.891815185546875,-1.2081832885742188,55.3941803682498,8.294181894128705,5.68601965193325,8.2,328790.4375,308474.75
RIPR99PA,27.600000381469727,28.703981399536133,1.1039810180664062,16.2442134608806,-11.355786920589125,39.0253918181656,122.07,580587.3125,353311.1875
RIREZEKN,29.5,31.995603561401367,2.495603561401367,27.015243310907216,-2.4847566890927837,45.1158600928499,169.06,706729.375,264540.5625
RIRU99PA,28.799999237060547,44.41382598876953,15.613826751708984,56.93965864385635,28.1396594067958,30.012233602891,67.71,581338.8125,416897.25
RISA99PA,19.700000762939453,14.972821235656738,-4.727179527282715,24.416342052029126,4.716341289089673,38.1622079313054,121.61,403690.96875,286226.15625
RISE99MS,32.5,24.815296173095703,-7.684703826904297,26.377955416205694,-6.122044583794306,6.35558440240894,7.68,524837.0625,350926.6875
RISI99PA,21.0,17.092344284057617,-3.907655715942383,10.699999809265137,-10.300000190734863,32.2237594837084,79.64,569199.0,278158.15625
RIST99PA,19.299999237060547,23.89145851135254,4.591459274291992,30.44087700659454,11.140877769533994,31.9413254097329,79.97,412399.34375,338731.6875
RIVE99PA,91.0,56.52994918823242,-34.47005081176758,42.891900326034275,-48.108099673965725,1.46816869349303,2.33,352006.3125,364099.3125
RIZI99PA,16.899999618530273,27.237167358398438,10.337167739868164,13.539322149494069,-3.3606774690362045,37.6519666305438,106.71,618013.25,265599.84375
RIZO99MS,24.299999237060547,26.966917037963867,2.6669178009033203,14.648478442691387,-9.65152079436916,41.5944482681889,187.72,615333.875,334033.53125
RUCAVA,70.0999984741211,32.347476959228516,-37.75252151489258,36.109705867221145,-33.99029260689995,11.3991771274633,18.86,324465.15625,227710.28125
