gh_id,obs,pred_gridpp,err_gridpp,pred_uk,err_uk,cont_pr,elev,px,py
RIAI99PA,114.80000305175781,92.44110107421875,-22.358901977539062,92.71389787875675,-22.08610517300106,5.05806007300982,6.32,521711.53125,414062.25
RIAL99MS,84.80000305175781,50.19881057739258,-34.601192474365234,90.9122085331154,6.1122054813575915,42.3299115165594,197.76,682177.375,370388.0625
RIBA99PA,36.29999923706055,31.266090393066406,-5.033908843994141,49.35349838820627,13.053499151145722,20.808270621307,30.94,513696.03125,248306.28125
RIDAGDA,54.29999923706055,49.455867767333984,-4.8441314697265625,56.59878763493079,2.29878839787024,44.6089780502326,187.13,721360.4375,223724.65625
RIDM99MS,37.0,52.29777908325195,15.297779083251953,34.47844399720937,-2.521556002790632,40.2345554092767,97.52,663771.0625,194691.140625
RIDO99MS,63.0,43.13091278076172,-19.86908721923828,72.17482211886811,9.174822118868107,26.4014831951799,41.32,458249.125,275283.5625
RIGASLU,78.5,39.56380081176758,-38.93619918823242,58.78797683510932,-19.71202316489068,4.43296769524904,2.75,506367.15625,312359.0625
RIGU99MS,44.29999923706055,86.71582794189453,42.415828704833984,81.91707904989178,37.617079812831236,42.1786455620948,141.32,664551.8125,335384.03125
RIJE99PA,31.399999618530273,46.51986312866211,15.119863510131836,63.17845278761715,31.778453169086873,3.7727864706312,7.34,497791.9375,268067.84375
RIKO99PA,134.0,119.25712585449219,-14.742874145507812,126.05043554893761,-7.949564451062386,3.6807807416504,3.58,415946.5,401419.8125
RILP99PA,99.19999694824219,120.87100219726562,21.671005249023438,106.61824617316945,7.418249224927266,2.87363895712746,3.26,316503.75,262976.28125
RIMADONA,98.5999984741211,59.605262756347656,-38.99473571777344,58.8238794017459,-39.776119072375195,37.2961234399292,131.39,636462.0,302730.875
RIME99MS,116.80000305175781,135.56857299804688,18.768569946289062,94.2280494831505,-22.571953568607313,4.32397115910191,4.97,446610.9375,354828.71875
RIPA99PA,150.5,103.66390991210938,-46.836090087890625,103.97777577448412,-46.522224225515885,5.68601965193325,8.2,328790.4375,308474.75
RIPR99PA,79.0,68.25248718261719,-10.747512817382812,86.13916264382055,7.139162643820555,39.0253918181656,122.07,580587.3125,353311.1875
RIREZEKN,49.29999923706055,59.61393356323242,10.313934326171875,59.62560344566863,10.325604208608084,45.1158600928499,169.06,706729.375,264540.5625
RIRU99PA,96.0,121.76494598388672,25.76494598388672,98.58694234199214,2.586942341992142,30.012233602891,67.71,581338.8125,416897.25
RISA99PA,94.4000015258789,129.0181884765625,34.618186950683594,116.69845315553387,22.298451629654963,38.1622079313054,121.61,403690.96875,286226.15625
RISE99MS,49.900001525878906,108.30830383300781,58.408302307128906,80.62877405309733,30.728772527218425,6.35558440240894,7.68,524837.0625,350926.6875
RISI99PA,74.4000015258789,72.00818634033203,-2.391815185546875,53.945633606965814,-20.454367918913093,32.2237594837084,79.64,569199.0,278158.15625
RIST99PA,116.5999984741211,99.0110092163086,-17.5889892578125,116.1363844676712,-0.4636140064498875,31.9413254097329,79.97,412399.34375,338731.6875
RIVE99PA,99.5999984741211,132.2292022705078,32.62920379638672,150.5,50.900001525878906,1.46816869349303,2.33,352006.3125,364099.3125
RIZI99PA,62.70000076293945,101.25062561035156,38.55062484741211,52.63063783225579,-10.06936293068366,37.6519666305438,106.71,618013.25,265599.84375
RIZO99MS,93.9000015258789,104.7928237915039,10.892822265625,82.82266578437228,-11.07733574150663,41.5944482681889,187.72,615333.875,334033.53125
RUCAVA,96.80000305175781,88.63545989990234,-8.164543151855469,83.00522771651876,-13.794775335239052,11.3991771274633,18.86,324465.15625,227710.28125
