gh_id,obs,pred_gridpp,err_gridpp,pred_uk,err_uk,cont_pr,elev,px,py
RIAI99PA,42.900001525878906,42.23341369628906,-0.6665878295898438,48.07328946389779,5.1732879380188805,5.05806007300982,6.32,521711.53125,414062.25
RIAL99MS,40.099998474121094,37.93889236450195,-2.1611061096191406,42.115678658179135,2.0156801840580414,42.3299115165594,197.76,682177.375,370388.0625
RIBA99PA,69.0,44.3062629699707,-24.693737030029297,47.75127729401533,-21.24872270598467,20.808270621307,30.94,513696.03125,248306.28125
RIDAGDA,19.299999237060547,29.097312927246094,9.797313690185547,11.708439439012158,-7.591559798048388,44.6089780502326,187.13,721360.4375,223724.65625
RIDM99MS,20.0,23.82119369506836,3.8211936950683594,35.809006951971426,15.809006951971426,40.2345554092767,97.52,663771.0625,194691.140625
RIDO99MS,41.5,26.028417587280273,-15.471582412719727,52.35104936198895,10.851049361988949,26.4014831951799,41.32,458249.125,275283.5625
RIGASLU,48.099998474121094,37.19136047363281,-10.908638000488281,51.016314757408566,2.916316283287472,4.43296769524904,2.75,506367.15625,312359.0625
RIGU99MS,32.099998474121094,44.93740463256836,12.837406158447266,46.89000064295926,14.790002168838164,42.1786455620948,141.32,664551.8125,335384.03125
RIJE99PA,44.20000076293945,61.97120666503906,17.77120590209961,54.62092030075107,10.420919537811614,3.7727864706312,7.34,497791.9375,268067.84375
RIKO99PA,32.400001525878906,32.61921691894531,0.21921539306640625,31.717244749499766,-0.68275677637914,3.6807807416504,3.58,415946.5,401419.8125
RILP99PA,8.600000381469727,10.784147262573242,2.1841468811035156,8.699999809265137,0.09999942779541016,2.87363895712746,3.26,316503.75,262976.28125
RIMADONA,43.20000076293945,40.08951187133789,-3.1104888916015625,48.52622548982321,5.326224726883758,37.2961234399292,131.39,636462.0,302730.875
RIME99MS,42.900001525878906,75.9959716796875,33.095970153808594,43.96164599840919,1.0616444725302827,4.32397115910191,4.97,446610.9375,354828.71875
RIPA99PA,8.699999809265137,8.878499984741211,0.17850017547607422,9.448685549757148,0.7486857404920109,5.68601965193325,8.2,328790.4375,308474.75
RIPR99PA,59.400001525878906,69.19705963134766,9.79705810546875,59.392847124197885,-0.007154401681020772,39.0253918181656,122.07,580587.3125,353311.1875
RIREZEKN,33.29999923706055,25.399852752685547,-7.900146484375,21.61248080130441,-11.687518435756136,45.1158600928499,169.06,706729.375,264540.5625
RIRU99PA,53.29999923706055,57.80963897705078,4.509639739990234,46.831770733516336,-6.468228503544211,30.012233602891,67.71,581338.8125,416897.25
RISA99PA,26.899999618530273,49.723995208740234,22.82399559020996,63.80136222664892,36.901362608118646,38.1622079313054,121.61,403690.96875,286226.15625
RISE99MS,50.099998474121094,49.30671691894531,-0.7932815551757812,50.5983103077652,0.49831183364410947,6.35558440240894,7.68,524837.0625,350926.6875
RISI99PA,74.4000015258789,61.624176025390625,-12.775825500488281,51.94470378896738,-22.455297736911525,32.2237594837084,79.64,569199.0,278158.15625
RIST99PA,63.599998474121094,24.005504608154297,-39.5944938659668,35.35257971709767,-28.247418757023425,31.9413254097329,79.97,412399.34375,338731.6875
RIVE99PA,9.199999809265137,25.103286743164062,15.903286933898926,17.088266771534805,7.888266962269668,1.46816869349303,2.33,352006.3125,364099.3125
RIZI99PA,32.29999923706055,39.379425048828125,7.079425811767578,51.290218116942505,18.990218879881958,37.6519666305438,106.71,618013.25,265599.84375
RIZO99MS,68.9000015258789,58.180320739746094,-10.719680786132812,51.274595254944465,-17.62540627093444,41.5944482681889,187.72,615333.875,334033.53125
RUCAVA,12.300000190734863,12.408866882324219,0.10886669158935547,8.600000381469727,-3.6999998092651367,11.3991771274633,18.86,324465.15625,227710.28125
